01Cyberaton Proenergy SA;01CYBATON;01C
Izostal SA;IZOSTAL;IZS
J.W. Construction Holding SA;JWCONSTR;JWC
Jastrzębska Spółka Węglowa SA;JSW;JSW
JJ Auto AG;JJAUTO;JJO
JR Holding ASI SA;JRHOLDING;JRH
Jujubee SA;JUJUBEE;JJB
JWA SA;JWA;JWA
JWW Invest SA;JWWINVEST;JWW
K2 Holding SA;K2HOLDING;K2H
Kancelaria Medius SA w restrukturyzacji;KME;KME
KB Dom SA;KBDOM;KBD
KBJ SA;KBJ;KBJ
KCI SA;KCI;KCI
KDM Shipping Public Ltd.;KDMSHIPNG;KDM
Kernel Holding SA;KERNEL;KER
KGHM Polska Miedź SA;KGHM;KGH
Kino Polska TV SA;KINOPOL;KPL
Klabater SA;KLABATER;KBT
Klon SA;KLON;KLN
Kogeneracja SA;KOGENERA;KGN
Kompap SA;KOMPAP;KMP
Komputronik SA w restrukturyzacji;KOMPUTRON;KOM
Kool2Play SA;KOOL2PLAY;K2P
Korbank SA;KORBANK;KOR
Korporacja KGL SA;KGL;KGL
KPPD SA;KPPD;KPD
Krakchemia SA;KRAKCHEM;KCH
Kredyt Inkaso SA;KREDYTIN;KRI
KRKA DD;KRKA;KRK
Kruk SA;KRUK;KRU
Kruszwica SA;KRUSZWICA;KSW
Krynica Vitamin SA;KRVITAMIN;KVT
Krynicki Recykling SA;KREC;KRC
KSG Agro SA;KSGAGRO;KSG
Kupiec SA;KUPIEC;KPC
Labo Print SA;LABOPRINT;LAB
Labocanna SA;LABOCANNA;LCN
Langloo.com SA;LANGLOO;LAN
Lark.pl SA;LARK;LRK
Larq SA;LARQ;LRQ
Lauren Peso Polska SA;LAURENPES;LPS
Lena Lighting SA;LENA;LEN
Lentex SA;LENTEX;LTX
Letus Capital SA;LETUS;LET
Libet SA;LIBET;LBT
LiveChat Software SA;LIVECHAT;LVC
LK Designer Shops SA;LKDESIGN;LKS
Logintrade SA;LGTRADE;LGT
Lokaty Budowlane SA;LOKATYBUD;LBD
Lokum Deweloper SA;LOKUM;LKD
LPP SA;LPP;LPP
LSI Software SA;LSISOFT;LSI
Lubawa SA;LUBAWA;LBW
LUG SA;LUG;LUG
Lukardi SA;LUKARDI;LUK
Luxima SA;LUXIMA;LUX
LW Bogdanka SA;BOGDANKA;LWB
M Food SA;MFOOD;MFD
M4B SA;M4B;M4B
Mabion SA;MABION;MAB
Macro Games SA;MGAMES;MGS
Madkom SA;MADKOM;MAD
Magna Polonia SA;06MAGNA;06N
Makarony Polskie SA;MAKARONPL;MAK
MakoLab SA;MAKOLAB;MLB
Małkowski-Martech SA;MALKOWSKI;MMA
Mangata Holding SA;MANGATA;MGT
